date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:01:28	86300/86300	---M--	200	added ('OK')	text/html	date:Sun,%2009%20Jul%202017%2012:34:32%20GMT	http://7oroof.com/tfdemos/whole/index.html	C:/My%20Web%20Sites/demosite/7oroof.com/tfdemos/whole/index.html	(from )
06:01:28	440/440	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Oct%202017%2013:01:20%20GMT	http://7oroof.com/robots.txt		(from )
06:01:28	477/477	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Oct%202017%2013:01:20%20GMT	http://7oroof.com/tfdemos/whole/assets/images/favicon/favicon.ico	C:/My%20Web%20Sites/demosite/7oroof.com/tfdemos/whole/assets/images/favicon/favicon.ico	(from http://7oroof.com/tfdemos/whole/index.html)
06:01:30	176328/176328	---M--	200	added ('OK')	text/css	date:Sun,%2004%20Jun%202017%2016:03:19%20GMT	http://7oroof.com/tfdemos/whole/assets/css/external.css	C:/My%20Web%20Sites/demosite/7oroof.com/tfdemos/whole/assets/css/external.css	(from http://7oroof.com/tfdemos/whole/index.html)
06:01:31	121260/121260	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Nov%202015%2017:34:20%20GMT	http://7oroof.com/tfdemos/whole/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/demosite/7oroof.com/tfdemos/whole/assets/css/bootstrap.min.css	(from http://7oroof.com/tfdemos/whole/index.html)
06:01:34	174074/174074	---M--	200	added ('OK')	text/css	date:Sun,%2009%20Jul%202017%2011:54:55%20GMT	http://7oroof.com/tfdemos/whole/assets/css/style.css	C:/My%20Web%20Sites/demosite/7oroof.com/tfdemos/whole/assets/css/style.css	(from http://7oroof.com/tfdemos/whole/index.html)
06:01:35	29777/29777	---M--	200	added ('OK')	text/css	date:Thu,%2016%20Feb%202017%2015:13:58%20GMT	http://7oroof.com/tfdemos/whole/assets/revolution/css/settings.css	C:/My%20Web%20Sites/demosite/7oroof.com/tfdemos/whole/assets/revolution/css/settings.css	(from http://7oroof.com/tfdemos/whole/index.html)
06:01:38	140793/140793	---M--	200	added ('OK')	text/css	date:Fri,%2024%20Jun%202016%2010:28:56%20GMT	http://7oroof.com/tfdemos/whole/assets/revolution/css/layers.css	C:/My%20Web%20Sites/demosite/7oroof.com/tfdemos/whole/assets/revolution/css/layers.css	(from http://7oroof.com/tfdemos/whole/index.html)
06:01:38	59576/59576	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Oct%202016%2010:23:00%20GMT	http://7oroof.com/tfdemos/whole/assets/revolution/css/navigation.css	C:/My%20Web%20Sites/demosite/7oroof.com/tfdemos/whole/assets/revolution/css/navigation.css	(from http://7oroof.com/tfdemos/whole/index.html)
06:01:40	2403/2403	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Apr%202017%2016:56:45%20GMT	http://7oroof.com/tfdemos/whole/assets/images/logo/logo-light.png	C:/My%20Web%20Sites/demosite/7oroof.com/tfdemos/whole/assets/images/logo/logo-light.png	(from http://7oroof.com/tfdemos/whole/index.html)
06:01:40	2407/2407	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Apr%202017%2016:57:36%20GMT	http://7oroof.com/tfdemos/whole/assets/images/logo/logo-dark.png	C:/My%20Web%20Sites/demosite/7oroof.com/tfdemos/whole/assets/images/logo/logo-dark.png	(from http://7oroof.com/tfdemos/whole/index.html)
06:01:40	77171/77171	---M--	200	added ('OK')	text/html	date:Sun,%2009%20Jul%202017%2012:34:30%20GMT	http://7oroof.com/tfdemos/whole/home-agency.html	C:/My%20Web%20Sites/demosite/7oroof.com/tfdemos/whole/home-agency.html	(from http://7oroof.com/tfdemos/whole/index.html)
06:01:42	80876/80876	---M--	200	added ('OK')	text/html	date:Sun,%2009%20Jul%202017%2012:34:31%20GMT	http://7oroof.com/tfdemos/whole/home-business.html	C:/My%20Web%20Sites/demosite/7oroof.com/tfdemos/whole/home-business.html	(from http://7oroof.com/tfdemos/whole/index.html)
